Series;Time;Value;
mysql_mysql.mean;2020-02-26T12:16:29+01:00;1365.8;-1
mysql_mysql.mean;2020-02-26T12:16:29+01:00;1370.4;-1
mysql_mysql.mean;2020-02-26T12:16:30+01:00;1375;-1
mysql_mysql.mean;2020-02-26T12:16:30+01:00;1379.6;-1
mysql_mysql.mean;2020-02-26T12:16:31+01:00;1384.2;-1
mysql_mysql.mean;2020-02-26T12:16:31+01:00;1388.8;-1
mysql_mysql.mean;2020-02-26T12:16:32+01:00;1393.4;-1
mysql_mysql.mean;2020-02-26T12:16:32+01:00;1398;-1
mysql_mysql.mean;2020-02-26T12:16:33+01:00;1402.6;-1
mysql_mysql.mean;2020-02-26T12:16:33+01:00;1407.2;-1
mysql_mysql.mean;2020-02-26T12:16:34+01:00;1411.8;-1
mysql_mysql.mean;2020-02-26T12:16:34+01:00;1416.4;-1
mysql_mysql.mean;2020-02-26T12:16:35+01:00;1421;-1
mysql_mysql.mean;2020-02-26T12:16:35+01:00;1425.6;-1
mysql_mysql.mean;2020-02-26T12:16:36+01:00;1430.2;-1
mysql_mysql.mean;2020-02-26T12:16:36+01:00;1434.8;-1
mysql_mysql.mean;2020-02-26T12:16:37+01:00;1439.4;-1
mysql_mysql.mean;2020-02-26T12:16:37+01:00;1444;-1
mysql_mysql.mean;2020-02-26T12:16:38+01:00;1448.6;-1
mysql_mysql.mean;2020-02-26T12:16:38+01:00;1453.2;-1
mysql_mysql.mean;2020-02-26T12:16:39+01:00;1457.8;-1
mysql_mysql.mean;2020-02-26T12:16:39+01:00;1462.4;-1
mysql_mysql.mean;2020-02-26T12:16:40+01:00;1467;-1
mysql_mysql.mean;2020-02-26T12:16:40+01:00;1471.6;-1
mysql_mysql.mean;2020-02-26T12:16:41+01:00;1476.2;-1
mysql_mysql.mean;2020-02-26T12:16:41+01:00;1480.8;-1
mysql_mysql.mean;2020-02-26T12:16:42+01:00;1485.4;-1
mysql_mysql.mean;2020-02-26T12:16:42+01:00;1490;-1
mysql_mysql.mean;2020-02-26T12:16:43+01:00;1494.6;-1
mysql_mysql.mean;2020-02-26T12:16:43+01:00;1499.2;-1
mysql_mysql.mean;2020-02-26T12:16:44+01:00;1503.8;-1
mysql_mysql.mean;2020-02-26T12:16:44+01:00;1508.4;-1
mysql_mysql.mean;2020-02-26T12:16:45+01:00;1513;-1
mysql_mysql.mean;2020-02-26T12:16:45+01:00;1517.6;-1
mysql_mysql.mean;2020-02-26T12:16:46+01:00;1522.2;-1
mysql_mysql.mean;2020-02-26T12:16:46+01:00;1526.8;-1
mysql_mysql.mean;2020-02-26T12:16:47+01:00;1531.4;-1
mysql_mysql.mean;2020-02-26T12:16:47+01:00;1536;-1
mysql_mysql.mean;2020-02-26T12:16:48+01:00;1540.6;-1
mysql_mysql.mean;2020-02-26T12:16:48+01:00;1545.2;-1
mysql_mysql.mean;2020-02-26T12:16:49+01:00;1549.8;-1
mysql_mysql.mean;2020-02-26T12:16:49+01:00;1554.4;-1
mysql_mysql.mean;2020-02-26T12:16:50+01:00;1559;-1
mysql_mysql.mean;2020-02-26T12:16:50+01:00;1563.6;-1
mysql_mysql.mean;2020-02-26T12:16:51+01:00;1568.2;-1
mysql_mysql.mean;2020-02-26T12:16:51+01:00;1572.8;-1
mysql_mysql.mean;2020-02-26T12:16:52+01:00;1577.4;-1
mysql_mysql.mean;2020-02-26T12:16:52+01:00;1582;-1
mysql_mysql.mean;2020-02-26T12:16:53+01:00;1586.6;-1
mysql_mysql.mean;2020-02-26T12:16:53+01:00;1591.2;-1
mysql_mysql.mean;2020-02-26T12:16:54+01:00;1595.8;-1
mysql_mysql.mean;2020-02-26T12:16:54+01:00;1600.4;-1
mysql_mysql.mean;2020-02-26T12:16:55+01:00;1605;-1
mysql_mysql.mean;2020-02-26T12:16:55+01:00;1609.6;-1
mysql_mysql.mean;2020-02-26T12:16:56+01:00;1614.2;-1
mysql_mysql.mean;2020-02-26T12:16:56+01:00;1618.8;-1
mysql_mysql.mean;2020-02-26T12:16:57+01:00;1623.4;-1
mysql_mysql.mean;2020-02-26T12:16:57+01:00;1628;-1
mysql_mysql.mean;2020-02-26T12:16:58+01:00;1632.6;-1
mysql_mysql.mean;2020-02-26T12:16:58+01:00;1637.2;-1
mysql_mysql.mean;2020-02-26T12:16:59+01:00;1641.8;-1
mysql_mysql.mean;2020-02-26T12:16:59+01:00;1646.4;-1
mysql_mysql.mean;2020-02-26T12:17:00+01:00;1651;-1
mysql_mysql.mean;2020-02-26T12:17:00+01:00;1655.6;-1
mysql_mysql.mean;2020-02-26T12:17:01+01:00;1660.2;-1
mysql_mysql.mean;2020-02-26T12:17:01+01:00;1664.8;-1
mysql_mysql.mean;2020-02-26T12:17:02+01:00;1669.4;-1
mysql_mysql.mean;2020-02-26T12:17:02+01:00;1674;-1
mysql_mysql.mean;2020-02-26T12:17:03+01:00;1678.6;-1
mysql_mysql.mean;2020-02-26T12:17:03+01:00;1683.2;-1
mysql_mysql.mean;2020-02-26T12:17:04+01:00;1687.8;-1
mysql_mysql.mean;2020-02-26T12:17:04+01:00;1692.4;-1
mysql_mysql.mean;2020-02-26T12:17:05+01:00;1697;-1
mysql_mysql.mean;2020-02-26T12:17:05+01:00;1701.6;1
mysql_mysql.mean;2020-02-26T12:17:06+01:00;1706.2;1
mysql_mysql.mean;2020-02-26T12:17:06+01:00;1710.8;1
mysql_mysql.mean;2020-02-26T12:17:07+01:00;1715.4;1
mysql_mysql.mean;2020-02-26T12:17:07+01:00;1720;1
mysql_mysql.mean;2020-02-26T12:17:08+01:00;1724.6;1
mysql_mysql.mean;2020-02-26T12:17:08+01:00;1729.2;1
mysql_mysql.mean;2020-02-26T12:17:09+01:00;1733.8;1
mysql_mysql.mean;2020-02-26T12:17:09+01:00;1738.4;1
mysql_mysql.mean;2020-02-26T12:17:10+01:00;1743;1
mysql_mysql.mean;2020-02-26T12:17:10+01:00;1747.6;1
mysql_mysql.mean;2020-02-26T12:17:11+01:00;1752.2;1
mysql_mysql.mean;2020-02-26T12:17:11+01:00;1756.8;1
mysql_mysql.mean;2020-02-26T12:17:12+01:00;1761.4;1
mysql_mysql.mean;2020-02-26T12:17:12+01:00;1766;1
mysql_mysql.mean;2020-02-26T12:17:13+01:00;1770.6;1
mysql_mysql.mean;2020-02-26T12:17:13+01:00;1775.2;1
mysql_mysql.mean;2020-02-26T12:17:14+01:00;1779.8;1
